"Project","generator-java"
"Directory Scanned","/home/travis/build/arf/java-codegen-yeoman/generator-java/production/java-codegen-yeoman/generator-java"
"Date","2017-08-08T10:36:44.253Z"
"CLI Version","2.1.7"
"WILD Version","1.0.1"
""
"Name","Version","Need Pedigree Review","Reason","License Types","Declared License","License Status","Path"
"vinyl","1.2.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/mem-fs/node_modules/vinyl"
"mem-fs-editor","3.0.2","true","New package and not exempt","","MIT","Approved | Reference Only","node_modules/mem-fs-editor"
"minimatch","3.0.4","false","Exempt - Version closely related to 3.0.3","ISC","ISC","Approved","node_modules/minimatch"
"minimist","0.0.10","false","Exempt - Version closely related to 0.0.8","MIT","MIT","Approved","node_modules/minimist"
"mkdirp","0.5.1","false","Exempt - Version closely related to 0.5.0","KEYWORD,MIT","MIT","Needs Review","node_modules/mkdirp"
"minimist","0.0.8","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/mkdirp/node_modules/minimist"
"ms","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/ms"
"multimatch","2.1.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/multimatch"
"mute-stream","0.0.6","false","Exempt - Version closely related to 0.0.4","ISC","ISC","Approved","node_modules/mute-stream"
"normalize-package-data","2.4.0","true","New version and not exempt","BSD-2-Clause","BSD-2-Clause","Approved","node_modules/normalize-package-data"
"number-is-nan","1.0.1","false","Exempt - Version closely related to 1.0.0","MIT","MIT","Approved","node_modules/number-is-nan"
"object-assign","2.1.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/object-assign"
"once","1.4.0","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/once"
"onetime","1.1.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/onetime"
"optimist","0.6.1","false","Previously pedigree reviewed","KEYWORD,MIT","","Needs Review","node_modules/optimist"
"os-homedir","1.0.2","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/os-homedir"
"os-shim","0.1.3","true","New package and not exempt","MIT","","Approved","node_modules/os-shim"
"os-tmpdir","1.0.2","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/os-tmpdir"
